2,80,60
0,0,0
110,0,0
-10,-10,12
-10,0,12
-10,10,12
0,-10,12
0,10,12
10,-10,12
10,0,12
10,10,12
-20,-20,8
-20,0,8
-20,20,8
0,-20,8
0,20,8
20,-20,8
20,0,8
20,20,8
-30,-30,4
-30,0,4
-30,30,4
0,-30,4
0,30,4
30,-30,4
30,0,4
30,30,4
-40,-40,2
-40,0,2
-40,40,2
0,-40,2
0,40,2
40,-40,2
40,0,2
40,40,2
-50,-50,1
-50,0,1
-50,50,1
0,-50,1
0,50,1
50,-50,1
50,0,1
50,50,1
100,-10,12
100,0,12
100,10,12
110,-10,12
110,10,12
120,-10,12
120,0,12
120,10,12
90,-20,8
90,0,8
90,20,8
110,-20,8
110,20,8
130,-20,8
130,0,8
130,20,8
80,-30,4
80,0,4
80,30,4
110,-30,4
110,30,4
140,-30,4
140,0,4
140,30,4
70,-40,2
70,0,2
70,40,2
110,-40,2
110,40,2
150,-40,2
150,0,2
150,40,2
60,-50,1
60,0,1
60,50,1
110,-50,1
110,50,1
160,-50,1
160,0,1
160,50,1
