4,160,60
0,0,0
110,0,0
110,110,0
0,110,0
-10,-10,12
-10,0,12
-10,10,12
0,-10,12
0,10,12
10,-10,12
10,0,12
10,10,12
-20,-20,8
-20,0,8
-20,20,8
0,-20,8
0,20,8
20,-20,8
20,0,8
20,20,8
-30,-30,4
-30,0,4
-30,30,4
0,-30,4
0,30,4
30,-30,4
30,0,4
30,30,4
-40,-40,2
-40,0,2
-40,40,2
0,-40,2
0,40,2
40,-40,2
40,0,2
40,40,2
-50,-50,1
-50,0,1
-50,50,1
0,-50,1
0,50,1
50,-50,1
50,0,1
50,50,1
100,-10,12
100,0,12
100,10,12
110,-10,12
110,10,12
120,-10,12
120,0,12
120,10,12
90,-20,8
90,0,8
90,20,8
110,-20,8
110,20,8
130,-20,8
130,0,8
130,20,8
80,-30,4
80,0,4
80,30,4
110,-30,4
110,30,4
140,-30,4
140,0,4
140,30,4
70,-40,2
70,0,2
70,40,2
110,-40,2
110,40,2
150,-40,2
150,0,2
150,40,2
60,-50,1
60,0,1
60,50,1
110,-50,1
110,50,1
160,-50,1
160,0,1
160,50,1
100,100,12
100,110,12
100,120,12
110,100,12
110,120,12
120,100,12
120,110,12
120,120,12
90,90,8
90,110,8
90,130,8
110,90,8
110,130,8
130,90,8
130,110,8
130,130,8
80,80,4
80,110,4
80,140,4
110,80,4
110,140,4
140,80,4
140,110,4
140,140,4
70,70,2
70,110,2
70,150,2
110,70,2
110,150,2
150,70,2
150,110,2
150,150,2
60,60,1
60,110,1
60,160,1
110,60,1
110,160,1
160,60,1
160,110,1
160,160,1
-10,100,12
-10,110,12
-10,120,12
0,100,12
0,120,12
10,100,12
10,110,12
10,120,12
-20,90,8
-20,110,8
-20,130,8
0,90,8
0,130,8
20,90,8
20,110,8
20,130,8
-30,80,4
-30,110,4
-30,140,4
0,80,4
0,140,4
30,80,4
30,110,4
30,140,4
-40,70,2
-40,110,2
-40,150,2
0,70,2
0,150,2
40,70,2
40,110,2
40,150,2
-50,60,1
-50,110,1
-50,160,1
0,60,1
0,160,1
50,60,1
50,110,1
50,160,1
